url,source_name,raw_description,raw_materials,raw_category_breadcrumbs,source_price,source_images
https://dp-silver.com/product/gk2,Гривна с кожа и сребърни елементи №2,Гривна с естествена кожа и сребърни елементи Тегло: 4 гр. Размери: д. 20 см / деб. - Ф 3 мм. Дължината на гривната може да бъде коригирана спрямо вашите предпочитания. Гривна придаваща завършен вид на спортно-елегантно облекло. Подходящ подарък за близък човек.,,Гривни с естествена кожа,44.99 EUR,"https://dp-silver.com/cdn/img/products/113/grivna-s-koza-i-srebarni-elementi-no2-65439a61b4da7.jpeg?width=1920&height=1920&v=1777601736,https://dp-silver.com/cdn/img/products/113/grivna-s-koza-i-srebarni-elementi-no2-65439a61b4da7.jpeg?width=600&height=600&v=1777601736"
https://dp-silver.com/product/g151,Нежна гривна Камъче №151,"Сребърна гривна Камъче Тегло: 1,7 гр. Размери: д. 18 см. / ш. 5 мм. Камък: циркон. Дължината на гривната може да бъде коригирана спрямо вашите предпочитания. Сребърна гривна с циркон, символ на защита. Подходяща за ежедневието, а също и за подарък на близък човек.",,Гривни със синджир,19.94 EUR,"https://dp-silver.com/cdn/img/products/287/g151-image_617a805800d89.jpeg?width=1920&height=1920&v=1777601721,https://dp-silver.com/cdn/img/products/287/g151-image_617a805800d89.jpeg?width=600&height=600&v=1777601721"
https://dp-silver.com/product/grivna-za-glezen-kamache,Гривна за глезен Камъче,"Сребърна гривна за крак Размери: 24-26 см. Тегло: 1,6 гр. Вид камък: циркон.Дължината на гривната може да бъде коригирана спрямо Вашите предпочитания! Среб",,Гривни за глезен,23.01 EUR,"https://dp-silver.com/cdn/img/products/1208/grivna-za-glezen-kamace-62c6a5483a81c.jpeg?width=1920&height=1920&v=1777601722,https://dp-silver.com/cdn/img/products/1208/grivna-za-glezen-kamace-62c6a5483a81c.jpeg?width=600&height=600&v=1777601722"
https://dp-silver.com/product/grivna-za-glezen-infiniti,Гривна за глезен Инфинити,"Сребърна гривна за крак Размери: 24-26 см. Тегло: 1,6 гр. Дължината на гривната може да бъде коригирана спрямо Вашите предпочитания! Сребърна гривна за гле",,Гривни за глезен,23.01 EUR,"https://dp-silver.com/cdn/img/products/1209/grivna-za-glezen-infiniti-62c80d86dd625.jpeg?width=1920&height=1920&v=1777601730,https://dp-silver.com/cdn/img/products/1209/grivna-za-glezen-infiniti-62c80d86dd625.jpeg?width=600&height=600&v=1777601730"
https://dp-silver.com/product/gch1-4,Гривна с конец и закопчалка Кръст,Гривна с конец и сребърна закопчалка Кръст Размер на гривната - 16 см.* Тегло: 2 гр.*Гривната може да бъде изработена по размер спрямо предпочитанията Ви.,,Гривни с конец,26.59 EUR,"https://dp-silver.com/cdn/img/products/1024/grivna-s-konec-i-zakopcalka-krast-image_615d6350dcb64.jpeg?width=1920&height=1920&v=1777601732,https://dp-silver.com/cdn/img/products/1024/grivna-s-konec-i-zakopcalka-krast-image_615d6350dcb64.jpeg?width=600&height=600&v=1777601732"
https://dp-silver.com/product/tvarda-tanka-grivna,Твърда тънка гривна №15,"Изчистена твърда гривнаТегло: 5,6 гр. Размери: диам.: 6,5 см. / шир.: 3 мм.Диаметърът на гривната може да бъде коригирана спрямо Вашите предпочитания. Изчи",,Гривни без камъни,83.85 EUR,"https://dp-silver.com/cdn/img/products/1248/tvarda-tanka-grivna-632b0286a1c63.jpeg?width=1920&height=1920&v=1777601727,https://dp-silver.com/cdn/img/products/1248/tvarda-tanka-grivna-632b0286a1c63.jpeg?width=600&height=600&v=1777601727"
https://dp-silver.com/product/majka-grivna-s-izdaljeni-elementi,Мъжка гривна с издължени елементи №170,"Изчистена сребърна гривнаТегло: 9,4 гр. Размери: д. 20,5 см. / големина ел.: 15/7 мм.Дължината на гривната може да бъде коригирана спрямо Вашите предпочита",,Гривни без камъни,108.91 EUR,"https://dp-silver.com/cdn/img/products/1240/mazka-grivna-s-izdalzeni-elementi-63062c1c07841.jpeg?width=1920&height=1920&v=1777601743,https://dp-silver.com/cdn/img/products/1240/mazka-grivna-s-izdalzeni-elementi-63062c1c07841.jpeg?width=600&height=600&v=1777601743"
https://dp-silver.com/product/grivna-s-bukva-a,Гривна с буква А,"Сребърна буква Размер: ~ 12/7 мм.Тегло: 0,3 г. Нежна сребърна буква, която се нанизва на конец и е подвижна.Има възможност да се носи и като медальон. Сребро проба 925Сертификат за гаранция и качество",,Гривни с конец,13 EUR,"https://dp-silver.com/cdn/img/products/1471/grivna-s-bukva-a-69e1f86ecdf41.jpeg?width=1920&height=1920&v=1777601744,https://dp-silver.com/cdn/img/products/1471/grivna-s-bukva-a-69e1f86ecdf41.jpeg?width=600&height=600&v=1777601744"
https://dp-silver.com/product/grivna-s-bukva-b,Гривна с буква Б,"Сребърна буква Размер: ~ 12/7 мм.Тегло: 0,3 г. Нежна сребърна буква, която се нанизва на конец и е подвижна.Има възможност да се носи и като медальон. Сребро проба 925Сертификат за гаранция и качество",,Гривни с конец,13 EUR,"https://dp-silver.com/cdn/img/products/1474/grivna-s-bukva-b-69e1fb8408f5e.jpeg?width=1920&height=1920&v=1777601735,https://dp-silver.com/cdn/img/products/1474/grivna-s-bukva-b-69e1fb8408f5e.jpeg?width=600&height=600&v=1777601735"
https://dp-silver.com/product/l104,Колие с вълнообразни елементи и камъни №104,"Сребърно колие с редуващи се вълнообразни елементи и камъни Тегло: 9,3 гр. Размери: д. 45 см. / големина ел.: 2 мм. Камъни: циркони Дължината на колието може да бъде коригирана спрямо вашите предпочитания. Сребърно дамско колие с вълнообразни елементи и камъни, перфектно допълнение към изискан официален тоалет. Подходящ подарък за любим човек. Сребро проба 925 Сертификат за качество и гаранция",,Колиета с камъни,108.91 EUR,"https://dp-silver.com/cdn/img/products/105/kolie-s-valnoobrazni-elementi-i-kamani-no104-65410a3c5418a.jpeg?width=1920&height=1920&v=1777601733,https://dp-silver.com/cdn/img/products/105/kolie-s-valnoobrazni-elementi-i-kamani-no104-65410a3c5418a.jpeg?width=600&height=600&v=1777601733"
