brand_name,brand_url,intro_bg,brand_story_bg
Addict Boutique,https://addict-boutique.com/,"Addict Boutique предлага дамски и детски облекла, включително модели, произведени в България.","Addict Boutique изгражда цялостен дамски гардероб около роклите — от ежедневни и офис модели до облекло за сватби и кръщенета. Към тях добавя сака, палта, деним и аксесоари, както и отделна детска линия с модели за момичета, момчета и съчетани визии за майка и дъщеря."
AVENEW,https://avenew.bg/,"AVENEW създава дамско облекло с елегантни силуети, съвременни детайли и модели, произведени в България.","AVENEW продължава опита на семейство, започнало с малък шивашки цех в Стара Загора през 1998 г. След работа по над 90 колекции и производство за марки като Twinset, Max Mara и Pennyblack, натрупаното знание се превръща в собствена линия дамски дрехи от материи като лен, памук, коприна и кашмир."
BOLGEVA,https://bolgeva.com/,"BOLGEVA създава дамска мода с женствени силуети, съвременни линии и отличителни детайли.","BOLGEVA е основана в България от Борислава Георгиева през 2023 г. Дамските колекции свързват съвременен дизайн с традиционен занаят, а вдъхновението идва от начина, по който представите за женска красота се променят между различни епохи и култури."
Code Moda,https://codemoda.com/,"CODE MODA създава дизайнерски облекла и аксесоари в България от премиум материи, включително deadstock и преизползвани платове.","CODE MODA събира в едно авторска линия и експертно подбрана дизайнерска винтидж селекция. Галина Друмева пренася 15 години опит като моден журналист и винтидж куратор в лимитирани дрехи от deadstock коприна, вълна, мохер, кашмир и лен, ушити в нишово ателие във Варна, докато съоснователят Недялко Неделчев отговаря за автентикирането на винтидж находките."
CYXO,https://havlia.com/,"CYXO развива домашен и банен текстил с отделни линии за различно усещане и употреба. Хавлии, халати, плажни кърпи и бебешки модели с качулка се предлагат в разнообразни цветове и текстури, включително вафлена структура. Колекциите дават възможност един и същ текстилен език да премине от детската баня до ежедневния домашен ритуал.","CYXO поставя хавлиения текстил в центъра на домашните и семейните ритуали. От 100% памук марката развива хавлии, халати, плажни кърпи и модели за деца и бебета, така че една обща текстилна линия да преминава от банята към плажа и грижата за най-малките."
Denica Boutique,https://denicaboutique.com/,Denica Boutique създава дамски облекла с женствени силуети и характерни бутикови детайли.,"Denica Boutique е пловдивско ателие за дамска мода, в което бутиковите модели могат да бъдат изработени и по индивидуални размери и дизайн. Колекциите преминават през рокли, комплекти, сака, палта и бански, с ясно разпознаваеми женствени силуети и силни декоративни акценти."
DVETE,https://dvetestudio.bg/,"DVETE Studio създава булчински и официални модели с лекота, изградена чрез тюл, прозрачни пластове и прецизно оформени обеми. Роклите се допълват от воали и ръкавици, които продължават линията на силуета, вместо да стоят като отделен детайл. Колекциите дават различни прочити на бялото - от чист минимализъм до романтична многопластовост.","DVETE Studio работи с булчинската рокля като цялостен силует, в който тюлът, прозрачните пластове и внимателно оформените обеми водят разказа. Воалите и ръкавиците продължават линията на роклята, а различните колекции преминават от чист минимализъм към романтична многопластовост."
Josephine Hats,https://josephinehats.com,"Josephine Hats поставя шапката в центъра на цялостния силует. Колекциите преминават от летни и зимни модели до варианти за мъже, а услугата за изработка по поръчка дава възможност формата и детайлите да бъдат съобразени с конкретен човек. Широките периферии и внимателно поставените акценти са характерна част от почерка на ателието.","Josephine Hats поставя шапката в центъра на целия силует, а не като последен аксесоар. Ателието създава летни и зимни модели за жени и мъже и работи по поръчка, когато формата и детайлите трябва да бъдат съобразени с конкретен човек."
КИТНА,https://kitna.bg/,"КИТНА създава ръчно изработени аксесоари и авторски продукти, вдъхновени от българската шевица, народните мотиви и традиции.","КИТНА пренася символите на българската шевица в съвременни дрехи, бижута и аксесоари. Създадена от графичния дизайнер Петя Илиева, марката работи с мотиви като елбетица и канатица, а към изделията добавя книжка, която разказва символиката на използваната шевица."
Малко зайче,https://www.malkozaiche.com,„Малко зайче“ превръща личните роли и семейните поводи в текстилни подаръци. Тениски за майки и баби стоят редом до бродирани детайли за сватбения ден като надписът или мотивът носи основното послание.,"„Малко зайче“ превръща семейните поводи в персонализиран текстил — от хавлии, одеяла и бебешки бодита до кърпи за погача и кръщене. Всички артикули се изработват по поръчка, като ателието работи както с машинна, така и с ръчна бродерия и приема идеи за индивидуални дизайни."
