id,id 2,name_bg,brand_name,slug,category,tags,price_min_eur,price_max_eur,currency,short_desc_bg,long_desc_bg,product_url,brand_url,image_urls,is_active,created_at,brand_slug,meta_title_bg,meta_desc_bg,intro_bg,rating,address,brand_ref,subcategory,product_type,giftable,recipient,gift_occasion,attributes,colors,materials,audience,recipient_age,recipient_gender,role_interest,wedding_anniversary_type,gemstone,jewelry_detail,clothing_style,sleeve,season,ingredient,skin_type,skin_need,hair_need,category_status,category_reason,subcategory_status,subcategory_reason,product_type_status,product_type_reason,giftable_status,giftable_reason,recipient_status,recipient_reason,gift_occasion_status,gift_occasion_reason,attributes_status,attributes_reason,colors_status,colors_reason,materials_status,materials_reason,audience_status,audience_reason,recipient_age_status,recipient_age_reason,recipient_gender_status,recipient_gender_reason,role_interest_status,role_interest_reason,wedding_anniversary_type_status,wedding_anniversary_type_reason,gemstone_status,gemstone_reason,jewelry_detail_status,jewelry_detail_reason,clothing_style_status,clothing_style_reason,sleeve_status,sleeve_reason,season_status,season_reason,ingredient_status,ingredient_reason,skin_type_status,skin_type_reason,skin_need_status,skin_need_reason,hair_need_status,hair_need_reason,enrichment_source_status,enrichment_row_status,enrichment_notes
228,11,Кожен колан Decima,Alleexxa,kozhen-kolan-decima,Аксесоари,"аксесоари,колани,кожа,дамско,ръчна изработка,верига,моден аксесоар",54,67,EUR,Ръчно изработен кожен колан с декоративни елементи и подвижна верига,"Кожен колан Decima от Alleexxa е стилен аксесоар, изработен от висококачествена италианска кожа със сребристи елементи и подвижна верига. Регулируемият дизайн осигурява комфорт, а възможността за различни комбинации го прави подходящ за ежедневни и парти визии.",https://alleexxa.com/product/collections/dream-style/decima/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2023/11/alexa_leather_1000px-89.webp,TRUE,46121,alleexxa,Кожен колан Decima от Alleexxa | В Българитъм,Кожен колан Decima от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Колани,,False,,,Ръчна изработка,,"Естествена кожа,Метал","Жени,Унисекс",,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,"Existing value preserved. Метал: Explicit product/CSV evidence: “ma - alleexxa leather | масивен черен ръчно изработен кожен колан decima с метални елементи и подвижна верига. луксозен унисекс харнес аксесоар, подходящ за”.",SAFE,Жени: Explicit audience wording: “дамск”. Унисекс: Explicit audience wording: “унисекс”.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 2 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
229,12,Кожен колан Alien,Alleexxa,kozhen-kolan-alien,Аксесоари,"аксесоари,колани,кожа,дамско,вериги,ръчна изработка,моден аксесоар",60,75,EUR,Ръчно изработен кожен колан с вериги и холограмен ефект,"Кожен колан Alien от Alleexxa е модерен аксесоар от висококачествена италианска кожа с холограмен цвят и декоративни вериги. Подчертава талията и ханша, осигурява комфорт и свобода на движение и е подходящ както за ежедневни, така и за парти и фестивални визии.",https://alleexxa.com/product/collections/rave-wave/alien-belt/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2024/03/3-2.webp,TRUE,46121,alleexxa,Кожен колан Alien от Alleexxa | В Българитъм,Кожен колан Alien от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Колани,,False,,,Ръчна изработка,,"Естествена кожа,Метал",Жени,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing value preserved. Метал: Explicit product/CSV evidence: “alien с вериги. ръчно изработен от висок клас естествена италианска кожа. метални елементи вериги. чудесно допълнение за всяка парти дреха. | кожен колан al”.,SAFE,Жени: Explicit audience wording: “дамск”.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 2 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
230,13,Кожен харнес Wings,Alleexxa,kozhen-harnes-wings,Аксесоари,"аксесоари,колани,кожа,ръчна изработка,харнес,унисекс,сценичен аксесоар",64,79,EUR,Ръчно изработен кожен харнес с крила за артистични и сценични визии,"Кожен харнес Wings от Alleexxa е впечатляващ аксесоар от естествена италианска кожа с дизайн на крила и Y-образен гръб. Осигурява комфорт чрез регулируеми каишки и е подходящ за фотосесии, сценични изяви, тематични събития и смели модни визии.",https://alleexxa.com/product/everyday-outfit/harnesses/кожен-харнес-wings/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2025/10/DSC_6871.jpg,TRUE,46121,alleexxa,Кожен харнес Wings от Alleexxa | В Българитъм,Кожен харнес Wings от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Колани,,False,,,Ръчна изработка,,Естествена кожа,Унисекс,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Унисекс: Explicit audience wording: “унисекс”.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 1 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
231,14,Чанта от мъниста Camellia,Alleexxa,chanta-ot-manista-camellia,Аксесоари,"аксесоари,чанти,перли,дамско,ръчна изработка,елегантно,за нея",62,76,EUR,Ръчно изработена дамска чанта от перли с елегантен дизайн и подвижна дръжка,"Чанта от мъниста Camellia от Alleexxa е стилен дамски аксесоар, изработен ръчно от акрилни перли и метални елементи. Разполага с подвижна дръжка и магнитно закопчаване, подходяща за ежедневни и официални визии.",https://alleexxa.com/product/pearls/чанти/чанта-от-мъниста-camellia/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2025/02/DSC_5305-Edit.webp,TRUE,46121,alleexxa,Чанта от мъниста Camellia от Alleexxa | В Българитъм,Чанта от мъниста Camellia от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Чанти и портфейли,Чанти,True,За жена,Рожден ден,Ръчна изработка,,"Акрил,Метал,Мъниста",Жени,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,"Existing value preserved. Мъниста: Explicit product/CSV evidence: “чанта от мъниста camellia | аксесоари | чанти и портфейли | чанти | аксесоари,чанти,перли,”.",SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 1 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
232,15,Чанта от мъниста Love,Alleexxa,chanta-ot-manista-love,Аксесоари,"аксесоари,чанти,перли,дамско,ръчна изработка,сърце,за нея,подарък",52,64,EUR,Ръчно изработена дамска чанта от мъниста във формата на сърце с ефектен дизайн,"Чанта от мъниста Love от Alleexxa е екстравагантен аксесоар, изработен ръчно от червени акрилни перли с напукан ефект. С форма на сърце и метални дръжки, тя е идеална за специални поводи и стилни визии.",https://alleexxa.com/product/pearls/чанти/чанта-от-мъниста-love/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2024/12/DSC_5326-Edit.webp,TRUE,46121,alleexxa,Чанта от мъниста Love от Alleexxa | В Българитъм,Чанта от мъниста Love от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Чанти и портфейли,Чанти,True,За жена,Рожден ден,Ръчна изработка,,"Акрил,Метал,Мъниста",Жени,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,"Existing value preserved. Мъниста: Explicit product/CSV evidence: “чанта от мъниста love | аксесоари | чанти и портфейли | чанти | аксесоари,чанти,перли,дамс”.",SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 1 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
233,16,Чанта от перли Cherry blossom pink,Alleexxa,chanta-ot-perli-cherry-blossom-pink,Аксесоари,"аксесоари,чанти,перли,дамско,ръчна изработка,розова чанта,за нея,подарък",65,80,EUR,Ръчно изработена дамска чанта от перли в розов цвят със стилен и нежен дизайн,"Чанта от перли Cherry blossom pink от Alleexxa е изработена ръчно от розови акрилни перли и златисти елементи. С елегантен дизайн и магнитно закопчаване, тя е идеален аксесоар за ежедневие и специални поводи.",https://alleexxa.com/product/pearls/чанти/чанта-от-перли-cherry-blossom-pink/,https://alleexxa.com,https://alleexxa.com/wp-content/uploads/2025/02/DSC_5162-Edit.webp,TRUE,46121,alleexxa,Чанта от перли Cherry blossom pink от Alleexxa | В Българитъм,Чанта от перли Cherry blossom pink от Alleexxa. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Alleexxa работи с кожата и мънистата като два различни начина да изгради силен аксесоар. Скулптурни корсети, колани и харнеси оформят силуета, докато ръчно подредените мъниста и перли се превръщат в малки чанти. Колекциите се движат между носим предмет и декоративна конструкция с ясно присъствие.",,,Alleexxa,Чанти и портфейли,Чанти,True,За жена,Рожден ден,Ръчна изработка,Розов,Акрил,Жени,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 0 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
406,119,Тюлени ръкавици,DVETE,tyuleni-rakavitsi,Аксесоари,"тюлени ръкавици,булчински ръкавици,сватбени ръкавици,аксесоар за булка,булчински аксесоар,ръкавици за сватба",34,42,EUR,"Тюлени ръкавици от DVETE в универсален размер, част от булчинската селекция на бранда.","Тюлени ръкавици от булчинската селекция на DVETE. Моделът се предлага в универсален размер ONE SIZE и е наличен на склад, готов за изпращане. Подходящ аксесоар за допълване на булчинска и сватбена визия.",https://dvetestudio.bg/collections/the-bridal-suite/products/bridal-tulle-gloves-long,https://dvetestudio.bg/,https://dvetestudio.bg/cdn/shop/files/margot_dress_2.jpg?v=1746307909&width=1800,TRUE,2026-08-17,dvete,Тюлени ръкавици от DVETE | В Българитъм,Тюлени ръкавици от булчинската селекция на DVETE в универсален размер ONE SIZE. Фин аксесоар за допълване на елегантна сватбена и булчинска визия.,,4.5,,DVETE,Булчински аксесоари,Воали и ръкавици,False,,Сватба,,,,,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Сватба: Explicit occasion evidence: “сватб”.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 1 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
415,120,Дълъг воал,DVETE,dalag-voal,Аксесоари,"дълъг воал,булчински воал,воал за булка,сватбен воал,булчински аксесоар,сватбен аксесоар",60,74,EUR,"Дълъг булчински воал от DVETE в универсален размер, наличен и готов за изпращане.","Дълъг воал от булчинската селекция на DVETE. Моделът е в универсален размер ONE SIZE и е наличен на склад, готов за изпращане. Подходящ аксесоар за завършване на булчинска визия.",https://dvetestudio.bg/collections/the-bridal-suite/products/floor-length-bridal-veil,https://dvetestudio.bg/,https://dvetestudio.bg/cdn/shop/files/longveil.jpg?v=1741263733&width=1800,TRUE,2026-08-17,dvete,Дълъг воал от DVETE | В Българитъм,"Дълъг булчински воал от DVETE в универсален размер ONE SIZE. Елегантен сватбен аксесоар за завършване на булчинската визия, наличен за изпращане.",,4.5,,DVETE,Булчински аксесоари,Воали и ръкавици,False,,Сватба,,Бял,,,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Сватба: Explicit occasion evidence: “сватб”.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,"Бял: Explicit product/CSV evidence: “в универсален размер, наличен и готов за изпращане. | | дълъг воал - дълъг бял булчински воал | dvete american express apple pay bancontact blik google p”.",EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 2 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
190,125,Големи обеци с цветя Amalfi,Forget Me Not,golemi-obeci-s-cvetya-amalfi,Аксесоари,"аксесоари,бижута,обеци,цветя,позлата,за нея,ръчна изработка",39,48,EUR,Ефектни обеци с цветя и позлатена медицинска стомана,"Големи дизайнерски обеци с текстилни цветя и халки от позлатена медицинска стомана без никел. Хипоалергенен модел с впечатляващ размер, подходящ за специални поводи и стилни визии. Леки и удобни за носене, създадени да привличат внимание.",https://forgetmenot-shop.eu/?product=the-big-flower-hoops-amalfi,https://forgetmenot-shop.eu,https://forgetmenot-shop.eu/wp-content/uploads/2026/03/Photoroom_20260311_075643.png,TRUE,46120,forget-me-not,Големи обеци с цветя Amalfi от Forget Me Not | В Българитъм,Големи обеци с цветя Amalfi от Forget Me Not. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Forget Me Not създава бижута и аксесоари, в които цветята са водещият визуален мотив. Обеци с обемни цветни композиции, пеперуди и фигурални детайли се допълват от диадеми, изградени като малки венци. Имената на моделите подсилват усещането за отделни истории, а характерният мащаб ги превръща в акцент на целия силует.",,"ul. ""Han Krum"" 15
Old City Center, ul. ""Han Krum"" 15, 1000 Sofia, Bulgaria",Forget Me Not,Бижута,Обеци,True,За жена,Рожден ден,Ръчна изработка,,Медицинска стомана,Жени,,,,,,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 0 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
191,126,Големи обеци балерина Ramonna,Forget Me Not,golemi-obeci-balerina-ramonna,Аксесоари,"аксесоари,бижута,обеци,перли,цветя,за нея,ръчна изработка",35,43,EUR,Елегантни обеци с текстилни цветя и перли в балерина стил,"Ефирни и елегантни обеци в гълъбово-сиви нюанси с текстилни цветя и перли. Изработени ръчно от позлатена медицинска стомана без никел, подходящи за чувствителни уши. Леки и удобни, идеални за официални поводи и стилни визии.",https://forgetmenot-shop.eu/?product=the-big-ballerina-earrings-ramonna,https://forgetmenot-shop.eu,https://forgetmenot-shop.eu/wp-content/uploads/2025/12/Photoroom_20251208_083615.png,TRUE,46120,forget-me-not,Големи обеци балерина Ramonna от Forget Me Not | В Българитъм,Големи обеци балерина Ramonna от Forget Me Not. Открий лесно български брандове и продукти в Българитъм. Създай своята галерия от вдъхновение,"Forget Me Not създава бижута и аксесоари, в които цветята са водещият визуален мотив. Обеци с обемни цветни композиции, пеперуди и фигурални детайли се допълват от диадеми, изградени като малки венци. Имената на моделите подсилват усещането за отделни истории, а характерният мащаб ги превръща в акцент на целия силует.",,"ul. ""Han Krum"" 15
Old City Center, ul. ""Han Krum"" 15, 1000 Sofia, Bulgaria",Forget Me Not,Бижута,Обеци,True,За жена,Рожден ден,Ръчна изработка,,Медицинска стомана,Жени,,,,,Перла,,,,,,,,,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,Existing populated structured value preserved unchanged.,SAFE,Existing populated structured value preserved unchanged.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,SAFE,"Перла: Explicit product/CSV evidence: “еци балерина ramonna | аксесоари | бижута | обеци | аксесоари,бижута,обеци,перли,цветя,за нея,ръчна изработка | елегантни обеци с текстилни цветя и перли”.",EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,EMPTY,No sufficiently supported applicable controlled-vocabulary value found.,LIVE_PAGE,SAFE,LIVE_PAGE; 1 structured field(s) changed or supplemented. Existing populated values were preserved except authorized legacy product_type split.
