URL,page_type,product_count,primary_keyword,secondary_keywords,keyword_evidence,search_intent,current_title,proposed_title,title_status,current_h1,proposed_h1,h1_status,current_meta_description,proposed_meta_description,meta_status,current_intro,proposed_intro,intro_status,h1_count,h2_count,h3_count,product_alignment,strong_product_matches,weak_product_matches,mismatched_products,canonical,breadcrumb,internal_incoming_links,anchor_text_status,schema_consistency,cannibalization_cluster,priority,recommended_action,notes
/20-godishnina-ot-svatba-podarak/,intent,0,20 годишнина от сватба подарък,подарък за 20 годишнина от сватба,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",gift/occasion,Подарък за 20 години от сватбата | Българитъм,Подарък за 20 години от сватбата | Българитъм,GOOD,Подарък за 20 години от сватбата,Подарък за 20 години от сватбата,GOOD,"Подарък за 20 години от сватбата: идеи според повода сватба, с подробности за вариантите, персонализацията и доставката при бранда.","Подарък за 20 години от сватбата: идеи според повода сватба, с подробности за вариантите, персонализацията и доставката при бранда.",GOOD,"Изборът на подарък за 20 години от сватбата започва от човека и повода сватба, а не от универсален списък с подаръци. Когато търсиш подарък за 20 години от сватбата, съобрази избора с интересите, ежедневието и начина на поднасяне; при персонализирани продукти провери и срока за изработка.",,GOOD,1,4,2,EMPTY,0,0,0,/20-godishnina-ot-svatba-podarak/,Начало > Идеи за подарък,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/balgarski-maratonki/,intent,0,български маратонки,маратонки български | български марки маратонки,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",product type,Български маратонки – модели и идеи | Българитъм,Български маратонки – модели и идеи | Българитъм,GOOD,Български маратонки,Български маратонки,GOOD,"Български маратонки: сравни кройката и размерите в предложенията от български брандове. Ориентирай се по състав, силует и таблица с размери.","Български маратонки: сравни кройката и размерите в предложенията от български брандове. Ориентирай се по състав, силует и таблица с размери.",GOOD,"При български маратонки можеш да сравниш маратонки според кройката, материята и повода. При български маратонки провери размерите, точния състав и указанията за поддръжка в информацията от бранда.",,GOOD,1,4,2,EMPTY,0,0,0,/balgarski-maratonki/,Начало > Аксесоари > Обувки,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/balgarsko-damsko-belo-pamuk/,intent,0,българско дамско бельо памук,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Българско дамско бельо от памук – модели и идеи | Българитъм,Българско дамско бельо от памук – модели и идеи | Българитъм,GOOD,Българско дамско бельо от памук,Българско дамско бельо от памук,GOOD,"Българско дамско бельо от памук: сравни състава, кройката и размерите в предложенията от български брандове.","Българско дамско бельо от памук: сравни състава, кройката и размерите в предложенията от български брандове.",SHORT,"При българско дамско бельо от памук съставът има значение наред с кройката и начина на носене. При българско дамско бельо от памук провери размерите, точния състав и указанията за поддръжка в информацията от бранда.",,GOOD,1,4,2,EMPTY,0,0,0,/balgarsko-damsko-belo-pamuk/,Начало > Качествени български дрехи > Българско бельо,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/balni-rokli/,intent,0,бални рокли,абитуриентски рокли | бална рокля | абитуриентска рокля | рокли бални | бални рокли онлайн | рокли абитуриентски,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",product type,Бални рокли – модели и идеи | Българитъм,Бални рокли – модели и идеи | Българитъм,GOOD,Бални рокли,Бални рокли,GOOD,"Бални рокли: сравни кройката и размерите в предложенията от български брандове. Провери материята, размерите и указанията за поддръжка.","Бални рокли: сравни кройката и размерите в предложенията от български брандове. Провери материята, размерите и указанията за поддръжка.",GOOD,"При бални рокли можеш да сравниш рокли според кройката, материята и повода. При бални рокли провери размерите, точния състав и указанията за поддръжка в информацията от бранда.",,GOOD,1,4,2,EMPTY,0,0,0,/balni-rokli/,Начало > Качествени български дрехи > Български дамски дрехи,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/beli-rokli/,intent,3,бели рокли,бяла рокля | рокля бяла,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",attribute/color,Бели рокли – модели и идеи | Българитъм,Бели рокли – модели и идеи | Българитъм,GOOD,Бели рокли,Бели рокли,GOOD,"Бели рокли: сравни нюанса, кройката и размерите в предложенията от български брандове. Сравни моделите по материя, кройка, размер и предназначение.","Бели рокли: сравни нюанса, кройката и размерите в предложенията от български брандове. Сравни моделите по материя, кройка, размер и предназначение.",GOOD,"При бели рокли цветът е на преден план, но силуетът, материята и детайлите остават също толкова важни. При бели рокли провери размерите, точния състав и указанията за поддръжка в информацията от бранда.",,GOOD,1,3,2,STRONG,3,0,0,/beli-rokli/,Начало > Качествени български дрехи > Български дамски дрехи,43,GOOD,CONSISTENT,,P3,IMPROVING — review the flagged on-page fields,
/bezhovi-rokli/,intent,2,бежови рокли,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",attribute/color,Бежови рокли – модели и идеи | Българитъм,Бежови рокли – модели и идеи | Българитъм,GOOD,Бежови рокли,Бежови рокли,GOOD,"Бежови рокли: сравни нюанса, кройката и размерите в предложенията от български брандове. Съпостави кройките, материите и начина на носене.","Бежови рокли: сравни нюанса, кройката и размерите в предложенията от български брандове. Съпостави кройките, материите и начина на носене.",GOOD,"При бежови рокли цветът е на преден план, но силуетът, материята и детайлите остават също толкова важни. При бежови рокли провери размерите, точния състав и указанията за поддръжка в информацията от бранда.",,GOOD,1,3,2,STRONG,2,0,0,/bezhovi-rokli/,Начало > Качествени български дрехи > Български дамски дрехи,2,GOOD,CONSISTENT,,P3,THIN — CATALOGUE PRIORITY,
/bizhuta-ot-kehlibar/,intent,0,бижута с кехлибар,кехлибар бижута,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с кехлибар – материал и детайли | Българитъм,Бижута с кехлибар – материал и детайли | Българитъм,GOOD,Бижута с кехлибар,Бижута с кехлибар,GOOD,"Бижута с кехлибар: сравни камъка кехлибар, размера и закопчаването в информацията от бранда. Сравни моделите по материал, размер, детайли и закопчаване.","Бижута с кехлибар: сравни камъка кехлибар, размера и закопчаването в информацията от бранда. Сравни моделите по материал, размер, детайли и закопчаване.",GOOD,"При бижута с кехлибар кехлибар е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с кехлибар провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,4,2,EMPTY,0,0,0,/bizhuta-ot-kehlibar/,Начало > Аксесоари > Български бижута,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/bizhuta-ot-meditsinska-stomana/,intent,3,бижута от медицинска стомана,бижута от неръждаема стомана | бижута от стомана | позлатени бижута от стомана,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута от медицинска стомана | Българитъм,Бижута от медицинска стомана | Българитъм,GOOD,Бижута от медицинска стомана,Бижута от медицинска стомана,GOOD,"Бижута от медицинска стомана: сравни материала медицинска стомана, размера и закопчаването в информацията от бранда.","Бижута от медицинска стомана: сравни материала медицинска стомана, размера и закопчаването в информацията от бранда.",GOOD,"При бижута от медицинска стомана материалът медицинска стомана е отправната точка, следвана от формата, размера и покритието. Преди избор на бижута от медицинска стомана провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,3,2,STRONG,3,0,0,/bizhuta-ot-meditsinska-stomana/,Начало > Аксесоари > Български бижута,46,GOOD,CONSISTENT,,P3,IMPROVING — review the flagged on-page fields,
/bizhuta-po-porachka/,intent,0,Бижута по поръчка,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",product type,Бижута по поръчка | Българитъм,Бижута по поръчка | Българитъм,GOOD,Бижута по поръчка,Бижута по поръчка,GOOD,"Открий бижута по поръчка от български автори. Съпостави изработката, размерите и важните детайли. Провери ги при бранда.","Открий бижута по поръчка от български автори. Съпостави изработката, размерите и важните детайли. Провери ги при бранда.",GOOD,"Открий бижута по поръчка от български автори и малки студиа. Тук ще добавяме персонализируеми модели и изделия, създадени специално за получателя.",,GOOD,1,3,0,EMPTY,0,0,0,/bizhuta-po-porachka/,Начало > Аксесоари > Български бижута,26,GOOD,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/bizhuta-s-cheren-turmalin/,intent,0,бижута с черен турмалин,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с черен турмалин – материал и детайли | Българитъм,Бижута с черен турмалин – материал и детайли | Българитъм,GOOD,Бижута с черен турмалин,Бижута с черен турмалин,GOOD,"Бижута с черен турмалин: сравни камъка черен турмалин, размера и закопчаването в информацията от бранда.","Бижута с черен турмалин: сравни камъка черен турмалин, размера и закопчаването в информацията от бранда.",SHORT,"При бижута с черен турмалин черен турмалин е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с черен турмалин провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,4,2,EMPTY,0,0,0,/bizhuta-s-cheren-turmalin/,Начало > Аксесоари > Български бижута,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/bizhuta-s-diamanti/,intent,0,бижута с диамант,бижута диаманти | диаманти бижута | диамантени бижута,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с диаманти – материал и детайли | Българитъм,Бижута с диаманти – материал и детайли | Българитъм,GOOD,Бижута с диаманти,Бижута с диаманти,GOOD,"Бижута с диаманти: сравни камъка диамант, размера и закопчаването в информацията от бранда. Провери материала, размерите и начина на закопчаване.","Бижута с диаманти: сравни камъка диамант, размера и закопчаването в информацията от бранда. Провери материала, размерите и начина на закопчаване.",GOOD,"При бижута с диаманти диамант е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с диаманти провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,4,2,EMPTY,0,0,0,/bizhuta-s-diamanti/,Начало > Аксесоари > Български бижута,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/bizhuta-s-hematit/,intent,1,бижута с хематит,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с хематит – материал и детайли | Българитъм,Бижута с хематит – материал и детайли | Българитъм,GOOD,Бижута с хематит,Бижута с хематит,GOOD,"Бижута с хематит: сравни камъка хематит, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.","Бижута с хематит: сравни камъка хематит, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.",GOOD,"При бижута с хематит хематит е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с хематит провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,3,2,STRONG,1,0,0,/bizhuta-s-hematit/,Начало > Аксесоари > Български бижута,1,GOOD,CONSISTENT,,P3,THIN — CATALOGUE PRIORITY,
/bizhuta-s-izumrud/,intent,0,бижута с изумруд,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с изумруд – материал и детайли | Българитъм,Бижута с изумруд – материал и детайли | Българитъм,GOOD,Бижута с изумруд,Бижута с изумруд,GOOD,"Бижута с изумруд: сравни камъка изумруд, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.","Бижута с изумруд: сравни камъка изумруд, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.",GOOD,"При бижута с изумруд изумруд е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с изумруд провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,4,2,EMPTY,0,0,0,/bizhuta-s-izumrud/,Начало > Аксесоари > Български бижута,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
/bizhuta-s-labradorit/,intent,0,бижута с лабрадорит,,"SEMANTIC TARGET — URL, taxonomy, current SEO definition and generated catalogue; no local GSC/search-volume export",material,Бижута с лабрадорит – материал и детайли | Българитъм,Бижута с лабрадорит – материал и детайли | Българитъм,GOOD,Бижута с лабрадорит,Бижута с лабрадорит,GOOD,"Бижута с лабрадорит: сравни камъка лабрадорит, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.","Бижута с лабрадорит: сравни камъка лабрадорит, размера и закопчаването в информацията от бранда. Ориентирай се по вид бижу, материал, камък и размер.",GOOD,"При бижута с лабрадорит лабрадорит е водещият камък, а материалът и обковът допълват избора. Преди избор на бижута с лабрадорит провери точния материал, размерите и начина на поддръжка, посочени за конкретното бижу.",,GOOD,1,4,2,EMPTY,0,0,0,/bizhuta-s-labradorit/,Начало > Аксесоари > Български бижута,0,NO INCOMING ANCHOR,CONSISTENT,,WAIT,WAIT FOR CATALOGUE,Do not enrich copy before catalogue expansion
